51,100
37,41
69,59
8,26
100,79
67,11
98,36
9,36
10,96
76,4
54,47
17,5
38,23
97,19
70,46
76,39
89,80
55,86
99,36
4,53
8,34
93,90
49,66
31,37
51,57
32,38
51,6
38,88
90,25
20,4
43,99
84,70
88,86
90,73
83,25
75,60
46,78
32,20
38,24
42,8
61,72
35,55
54,97
47,46
73,27
33,99
100,7
20,89
94,54
94,76
40,90
62,94
83,11
15,16
86,88
28,27
42,86
16,28
62,48
68,57
73,97
67,68
28,55
30,50
71,76
32,96
94,98
97,63
44,51
52,13
52,76
82,65
88,29
82,95
59,32
22,24
75,51
54,85
78,78
97,43
12,30
52,50
23,82
73,38
59,2
83,7
48,29
85,86
11,74
62,34
56,21
12,13
69,34
40,19
33,11
75,44
29,60
86,53
93,32
18,57
